84018.8 39438.3 
78309.9 79844 
91164.7 19755.1 
33522.3 76823 
27777.5 55397 
47739.7 62887.1 
36478.4 51340.1 
95223 91619.5 
63571.2 71729.7 
14160.3 60696.9 
1630.06 24288.7 
13723.2 80417.7 
15667.9 40094.4 
12979 10880.9 
99892.5 21825.7 
51293.2 83911.2 
61264 29603.2 
63755.2 52428.7 
49358.3 97277.5 
29251.7 77135.8 
52674.5 76991.4 
40022.9 89152.9 
28331.5 35245.8 
80772.5 91902.6 
6975.53 94932.7 
52599.5 8605.58 
19221.4 66322.7 
89023.3 34889.3 
6417.13 2002.3 
45770.2 6309.58 
23828 97063.4 
90220.8 85092 
26666.6 53976 
37520.7 76024.9 
51253.5 66772.4 
53160.6 3928.03 
43763.8 93183.5 
93081 72095.2 
28429.3 73853.4 
63997.9 35404.9 
68786.1 16597.4 
44010.5 88007.5 
82920.1 33033.7 
22896.8 89337.2 
35036 68667 
95646.8 58864 
65730.4 85867.6 
43956 92397 
39843.7 81476.7 
68421.9 91097.2 
48249.1 21582.5 
95025.2 92012.8 
14766 88106.2 
64108.1 43195.3 
61959.6 28105.9 
78600.2 30745.8 
44703.4 22610.7 
18753.3 27623.5 
55644.4 41650.1 
16960.7 90680.4 
10317.1 12607.5 
49544.4 76047.5 
98475.2 93500.4 
68444.5 38318.8 
74977.1 36866.4 
29416 23226.2 
58448.9 24441.3 
15239 73214.9 
12547.5 79347 
16410.2 74507.1 
7452.98 95010.4 
5252.93 52156.3 
17621.1 24006.2 
79779.8 73265.4 
65656.4 96740.5 
63945.8 75973.5 
9348.05 13490.2 
52021 7823.21 
6990.64 20465.5 
46142 81967.7 
57331.9 75558.1 
5193.88 15780.7 
99999.4 20432.9 
88995.6 12546.8 
99779.9 5405.76 
87054 7232.88 
416.161 92306.9 
59389.2 18037.2 
16313.1 39169 
91302.7 81969.5 
35909.5 55248.5 
57943 45257.6 
68738.7 9964.01 
53080.8 75729.4 
30429.5 99222.8 
57697.1 87761.4 
74780.9 62891 
3542.09 74780.3 
